Query,Database,Raw Sample Result,Scaled Result,Execution Time (s),Gold Execution Time (s),Relative Error (%),Speedup vs Gold (%)
"SELECT O_CUSTKEY, AVG(O_TOTALPRICE) AS AVG_ORDER_PRICE FROM ORDERS GROUP BY O_CUSTKEY ORDER BY O_CUSTKEY;",tpch-sample-100mb,151562.4841,151562.4841,0.0526,0.0997,0.17,52.75
"SELECT O_CUSTKEY, AVG(O_TOTALPRICE) AS AVG_ORDER_PRICE FROM ORDERS GROUP BY O_CUSTKEY ORDER BY O_CUSTKEY;",tpch-sample-150mb,151163.1709,151163.1709,0.0318,0.0997,0.09,31.88
"SELECT O_CUSTKEY, AVG(O_TOTALPRICE) AS AVG_ORDER_PRICE FROM ORDERS GROUP BY O_CUSTKEY ORDER BY O_CUSTKEY;",tpch-sample-200mb,151513.0713,151513.0713,0.0834,0.0997,0.14,83.59
"SELECT O_CUSTKEY, AVG(O_TOTALPRICE) AS AVG_ORDER_PRICE FROM ORDERS GROUP BY O_CUSTKEY ORDER BY O_CUSTKEY;",tpch-sample-250mb,151155.2931,151155.2931,0.0501,0.0997,0.10,50.20
"SELECT O_CUSTKEY, AVG(O_TOTALPRICE) AS AVG_ORDER_PRICE FROM ORDERS GROUP BY O_CUSTKEY ORDER BY O_CUSTKEY;",tpch-sample-50mb,151572.7372,151572.7372,0.0197,0.0997,0.18,19.80
"SELECT C_MKTSEGMENT, AVG(C_ACCTBAL) AS AVG_ACCOUNT_BALANCE FROM CUSTOMER GROUP BY C_MKTSEGMENT ORDER BY C_MKTSEGMENT;",tpch-sample-100mb,4497.8604,4497.8604,0.0000,0.0106,0.05,0.00
"SELECT C_MKTSEGMENT, AVG(C_ACCTBAL) AS AVG_ACCOUNT_BALANCE FROM CUSTOMER GROUP BY C_MKTSEGMENT ORDER BY C_MKTSEGMENT;",tpch-sample-150mb,4500.5127,4500.5127,0.0064,0.0106,0.11,60.88
"SELECT C_MKTSEGMENT, AVG(C_ACCTBAL) AS AVG_ACCOUNT_BALANCE FROM CUSTOMER GROUP BY C_MKTSEGMENT ORDER BY C_MKTSEGMENT;",tpch-sample-200mb,4501.2874,4501.2874,0.0272,0.0106,0.13,257.82
"SELECT C_MKTSEGMENT, AVG(C_ACCTBAL) AS AVG_ACCOUNT_BALANCE FROM CUSTOMER GROUP BY C_MKTSEGMENT ORDER BY C_MKTSEGMENT;",tpch-sample-250mb,4498.7383,4498.7383,0.0093,0.0106,0.07,87.54
"SELECT C_MKTSEGMENT, AVG(C_ACCTBAL) AS AVG_ACCOUNT_BALANCE FROM CUSTOMER GROUP BY C_MKTSEGMENT ORDER BY C_MKTSEGMENT;",tpch-sample-50mb,4493.3186,4493.3186,0.0054,0.0106,0.05,51.42
"SELECT PS_PARTKEY, AVG(PS_SUPPLYCOST) AS AVG_SUPPLY_COST FROM PARTSUPP GROUP BY PS_PARTKEY ORDER BY PS_PARTKEY;",tpch-sample-100mb,500.6126,500.6126,0.1176,0.1273,0.02,92.42
"SELECT PS_PARTKEY, AVG(PS_SUPPLYCOST) AS AVG_SUPPLY_COST FROM PARTSUPP GROUP BY PS_PARTKEY ORDER BY PS_PARTKEY;",tpch-sample-150mb,500.5847,500.5847,0.1152,0.1273,0.01,90.52
"SELECT PS_PARTKEY, AVG(PS_SUPPLYCOST) AS AVG_SUPPLY_COST FROM PARTSUPP GROUP BY PS_PARTKEY ORDER BY PS_PARTKEY;",tpch-sample-200mb,500.5446,500.5446,0.1093,0.1273,0.00,85.90
"SELECT PS_PARTKEY, AVG(PS_SUPPLYCOST) AS AVG_SUPPLY_COST FROM PARTSUPP GROUP BY PS_PARTKEY ORDER BY PS_PARTKEY;",tpch-sample-250mb,500.5485,500.5485,0.1002,0.1273,0.00,78.73
"SELECT PS_PARTKEY, AVG(PS_SUPPLYCOST) AS AVG_SUPPLY_COST FROM PARTSUPP GROUP BY PS_PARTKEY ORDER BY PS_PARTKEY;",tpch-sample-50mb,500.7266,500.7266,0.0666,0.1273,0.04,52.34
"SELECT P_TYPE, AVG(P_RETAILPRICE) AS AVG_RETAIL_PRICE FROM PART GROUP BY P_TYPE ORDER BY P_TYPE;",tpch-sample-100mb,1499.4863,1499.4863,0.0281,0.0195,0.00,144.22
"SELECT P_TYPE, AVG(P_RETAILPRICE) AS AVG_RETAIL_PRICE FROM PART GROUP BY P_TYPE ORDER BY P_TYPE;",tpch-sample-150mb,1499.6427,1499.6427,0.0263,0.0195,0.01,135.28
"SELECT P_TYPE, AVG(P_RETAILPRICE) AS AVG_RETAIL_PRICE FROM PART GROUP BY P_TYPE ORDER BY P_TYPE;",tpch-sample-200mb,1499.4627,1499.4627,0.0137,0.0195,0.00,70.27
"SELECT P_TYPE, AVG(P_RETAILPRICE) AS AVG_RETAIL_PRICE FROM PART GROUP BY P_TYPE ORDER BY P_TYPE;",tpch-sample-250mb,1499.4599,1499.4599,0.0164,0.0195,0.00,84.46
"SELECT P_TYPE, AVG(P_RETAILPRICE) AS AVG_RETAIL_PRICE FROM PART GROUP BY P_TYPE ORDER BY P_TYPE;",tpch-sample-50mb,1500.0784,1500.0784,0.0174,0.0195,0.04,89.56
