Query,Database,Raw Sample Result,Scaled Result,Execution Time (s),Gold Execution Time (s),Relative Error (%),Speed Overhead (%)
SELECT AVG(amount) FROM customers WHERE transaction_date BETWEEN '2024-01-01' AND '2024-12-31';,50mb_sample.db,5079.052243509405,520104.4729583197,0.1174,13.8487,10195.03,0.12
SELECT AVG(amount) FROM customers WHERE transaction_date BETWEEN '2024-01-01' AND '2024-12-31';,100mb_sample.db,5055.94210107759,258868.9755208924,0.2174,13.8487,5024.09,0.22
SELECT AVG(amount) FROM customers WHERE transaction_date BETWEEN '2024-01-01' AND '2024-12-31';,150mb_sample.db,5057.410336016314,172629.4336841502,0.3389,13.8487,3317.05,0.34
SELECT AVG(amount) FROM customers WHERE transaction_date BETWEEN '2024-01-01' AND '2024-12-31';,200mb_sample.db,5059.897582055361,129535.74992760885,0.4441,13.8487,2464.05,0.44
SELECT AVG(amount) FROM customers WHERE transaction_date BETWEEN '2024-01-01' AND '2024-12-31';,250mb_sample.db,5057.220274161396,103573.7676724282,1.0536,13.8487,1950.15,1.05
SELECT AVG(amount) FROM customers WHERE transaction_date BETWEEN '2024-01-01' AND '2024-12-31';,500mb_sample.db,5052.095299483664,51734.40313458137,2.8666,13.8487,924.04,2.87
SELECT AVG(amount) FROM customers WHERE transaction_date BETWEEN '2024-01-01' AND '2024-12-31';,750mb_sample.db,5054.227787255944,34504.160139473985,4.4019,13.8487,582.98,4.40
SELECT AVG(amount) FROM customers WHERE transaction_date BETWEEN '2024-01-01' AND '2024-12-31';,1000mb_sample.db,5052.966653551925,25871.662981809626,6.4787,13.8487,412.11,6.48
SELECT AVG(amount) FROM customers WHERE date_of_birth BETWEEN '1985-01-01' AND '1995-12-31';,50mb_sample.db,5044.075754572098,516522.81491022266,0.1142,13.3739,10126.21,0.11
SELECT AVG(amount) FROM customers WHERE date_of_birth BETWEEN '1985-01-01' AND '1995-12-31';,100mb_sample.db,5057.074281705964,258926.94423048446,0.2183,13.3739,5026.28,0.22
SELECT AVG(amount) FROM customers WHERE date_of_birth BETWEEN '1985-01-01' AND '1995-12-31';,150mb_sample.db,5069.138187980858,173029.75169444742,0.3501,13.3739,3325.67,0.35
SELECT AVG(amount) FROM customers WHERE date_of_birth BETWEEN '1985-01-01' AND '1995-12-31';,200mb_sample.db,5066.344257904953,129700.7878512377,0.4502,13.3739,2467.84,0.45
SELECT AVG(amount) FROM customers WHERE date_of_birth BETWEEN '1985-01-01' AND '1995-12-31';,250mb_sample.db,5071.95027289271,103875.44357019503,1.0831,13.3739,1956.54,1.08
SELECT AVG(amount) FROM customers WHERE date_of_birth BETWEEN '1985-01-01' AND '1995-12-31';,500mb_sample.db,5056.85500399473,51783.143401219284,2.8944,13.3739,925.21,2.89
SELECT AVG(amount) FROM customers WHERE date_of_birth BETWEEN '1985-01-01' AND '1995-12-31';,750mb_sample.db,5060.934824684813,34549.94768670141,4.3545,13.3739,584.03,4.35
SELECT AVG(amount) FROM customers WHERE date_of_birth BETWEEN '1985-01-01' AND '1995-12-31';,1000mb_sample.db,5055.355564448971,25883.894429562893,5.9492,13.3739,412.45,5.95
SELECT AVG(amount) FROM customers WHERE amount BETWEEN 1000 AND 5000;,50mb_sample.db,3000.2041548448997,307226.53083890805,0.1254,14.1919,10140.68,0.13
SELECT AVG(amount) FROM customers WHERE amount BETWEEN 1000 AND 5000;,100mb_sample.db,2997.3018781170463,153464.66613010352,0.2529,14.1919,5015.39,0.25
SELECT AVG(amount) FROM customers WHERE amount BETWEEN 1000 AND 5000;,150mb_sample.db,2999.8854614848215,102397.96534709533,0.3475,14.1919,3313.20,0.35
SELECT AVG(amount) FROM customers WHERE amount BETWEEN 1000 AND 5000;,200mb_sample.db,2999.719408444773,76794.2229746589,0.4887,14.1919,2459.76,0.49
SELECT AVG(amount) FROM customers WHERE amount BETWEEN 1000 AND 5000;,250mb_sample.db,2999.070958904981,61422.0978899836,1.1161,14.1919,1947.36,1.12
SELECT AVG(amount) FROM customers WHERE amount BETWEEN 1000 AND 5000;,500mb_sample.db,3001.1825164941374,30732.671690621806,3.0247,14.1919,924.40,3.02
SELECT AVG(amount) FROM customers WHERE amount BETWEEN 1000 AND 5000;,750mb_sample.db,3001.404350443609,20489.962207905508,4.3500,14.1919,582.99,4.35
SELECT AVG(amount) FROM customers WHERE amount BETWEEN 1000 AND 5000;,1000mb_sample.db,3000.2097300470095,15361.35508750288,5.8467,14.1919,412.04,5.85
SELECT AVG(amount) FROM customers WHERE credit_card_provider = 'VISA';,50mb_sample.db,0,0.0,0.1160,13.2972,,0.12
SELECT AVG(amount) FROM customers WHERE credit_card_provider = 'VISA';,100mb_sample.db,0,0.0,0.2154,13.2972,,0.22
SELECT AVG(amount) FROM customers WHERE credit_card_provider = 'VISA';,150mb_sample.db,0,0.0,0.3365,13.2972,,0.34
SELECT AVG(amount) FROM customers WHERE credit_card_provider = 'VISA';,200mb_sample.db,0,0.0,0.4816,13.2972,,0.48
SELECT AVG(amount) FROM customers WHERE credit_card_provider = 'VISA';,250mb_sample.db,0,0.0,1.0498,13.2972,,1.05
SELECT AVG(amount) FROM customers WHERE credit_card_provider = 'VISA';,500mb_sample.db,0,0.0,2.8830,13.2972,,2.88
SELECT AVG(amount) FROM customers WHERE credit_card_provider = 'VISA';,750mb_sample.db,0,0.0,4.3040,13.2972,,4.30
SELECT AVG(amount) FROM customers WHERE credit_card_provider = 'VISA';,1000mb_sample.db,0,0.0,6.0745,13.2972,,6.07
SELECT AVG(amount) FROM customers WHERE ssn LIKE '123%';,50mb_sample.db,5194.491959459459,531925.7163210727,0.1325,13.7613,10412.82,0.13
