Query,Database,Raw Sample Result,Scaled Result,Execution Time (s),Gold Execution Time (s),Relative Error (%),Speed Overhead (%)
SELECT COUNT(*) FROM customers WHERE email LIKE '%@gmail.com';,50mb_sample.db,0,0,0.1176,14.1301,,0.12
SELECT COUNT(*) FROM customers WHERE email LIKE '%@gmail.com';,100mb_sample.db,0,0,0.2318,14.1301,,0.23
SELECT COUNT(*) FROM customers WHERE email LIKE '%@gmail.com';,150mb_sample.db,0,0,0.349,14.1301,,0.35
SELECT COUNT(*) FROM customers WHERE email LIKE '%@gmail.com';,200mb_sample.db,0,0,0.4794,14.1301,,0.48
SELECT COUNT(*) FROM customers WHERE email LIKE '%@gmail.com';,250mb_sample.db,0,0,1.0854,14.1301,,1.09
SELECT COUNT(*) FROM customers WHERE email LIKE '%@gmail.com';,500mb_sample.db,0,0,2.9151,14.1301,,2.92
SELECT COUNT(*) FROM customers WHERE email LIKE '%@gmail.com';,750mb_sample.db,0,0,4.4326,14.1301,,4.43
SELECT COUNT(*) FROM customers WHERE email LIKE '%@gmail.com';,1000mb_sample.db,0,0,6.0672,14.1301,,6.07
SELECT COUNT(*) FROM customers WHERE name LIKE 'A%';,50mb_sample.db,13728,1405772.94,0.1163,13.5943,0.39,0.12
SELECT COUNT(*) FROM customers WHERE name LIKE 'A%';,100mb_sample.db,27307,1398144,0.2333,13.5943,0.15,0.23
SELECT COUNT(*) FROM customers WHERE name LIKE 'A%';,150mb_sample.db,41078,1402154.74,0.3311,13.5943,0.13,0.33
SELECT COUNT(*) FROM customers WHERE name LIKE 'A%';,200mb_sample.db,54830,1403673.702,0.4685,13.5943,0.24,0.47
SELECT COUNT(*) FROM customers WHERE name LIKE 'A%';,250mb_sample.db,68782,1408681.153,1.0526,13.5943,0.6,1.05
SELECT COUNT(*) FROM customers WHERE name LIKE 'A%';,500mb_sample.db,137059,1403509.859,2.8029,13.5943,0.23,2.8
SELECT COUNT(*) FROM customers WHERE name LIKE 'A%';,750mb_sample.db,205711,1404346.141,4.2524,13.5943,0.29,4.25
SELECT COUNT(*) FROM customers WHERE name LIKE 'A%';,1000mb_sample.db,274299,1404436.596,5.9099,13.5943,0.3,5.91
SELECT COUNT(*) FROM customers WHERE job LIKE '%Manager%';,50mb_sample.db,12182,1247459.641,0.1108,14.2834,0.55,0.11
SELECT COUNT(*) FROM customers WHERE job LIKE '%Manager%';,100mb_sample.db,24416,1250122.09,0.2502,14.2834,0.33,0.25
SELECT COUNT(*) FROM customers WHERE job LIKE '%Manager%';,150mb_sample.db,36703,1252818.673,0.3822,14.2834,0.12,0.38
SELECT COUNT(*) FROM customers WHERE job LIKE '%Manager%';,200mb_sample.db,48993,1254243.765,0.4822,14.2834,0.01,0.48
SELECT COUNT(*) FROM customers WHERE job LIKE '%Manager%';,250mb_sample.db,61251,1254443.449,1.0845,14.2834,0.01,1.08
SELECT COUNT(*) FROM customers WHERE job LIKE '%Manager%';,500mb_sample.db,122547,1254904.258,2.9018,14.2834,0.05,2.9
SELECT COUNT(*) FROM customers WHERE job LIKE '%Manager%';,750mb_sample.db,184117,1256928.401,4.4915,14.2834,0.21,4.49
SELECT COUNT(*) FROM customers WHERE job LIKE '%Manager%';,1000mb_sample.db,245336,1256143.32,6.1049,14.2834,0.15,6.1
SELECT COUNT(*) FROM customers WHERE address LIKE '%Street%';,250mb_sample.db,8929,182869.2684,1.0704,14.537,0.68,1.07
SELECT COUNT(*) FROM customers WHERE address LIKE '%Street%';,500mb_sample.db,17978,184098.0909,2.8996,14.537,0.01,2.9
SELECT COUNT(*) FROM customers WHERE address LIKE '%Street%';,750mb_sample.db,26943,183934.2479,4.4233,14.537,0.1,4.42
SELECT COUNT(*) FROM customers WHERE address LIKE '%Street%';,1000mb_sample.db,35974,184190.2526,5.9415,14.537,0.04,5.94
SELECT COUNT(*) FROM customers WHERE address LIKE '%Street%';,50mb_sample.db,1809,185244.9919,0.2216,15.2515,0.61,0.22
SELECT COUNT(*) FROM customers WHERE address LIKE '%Street%';,100mb_sample.db,3598,184220.9731,0.3798,15.2515,0.06,0.38
