Query,Database,Raw Sample Result,Scaled Result,Execution Time (s),Gold Execution Time (s),Relative Error (%),Speed Overhead (%)
SELECT COUNT(*)  FROM customers  WHERE date_of_birth BETWEEN '1980-01-01' AND '2000-12-31';,50mb_sample.db,27386,2804377.7487500003,0.1161,14.0988,0.50,0.12
SELECT COUNT(*)  FROM customers  WHERE date_of_birth BETWEEN '1980-01-01' AND '2000-12-31';,100mb_sample.db,54570,2794035.1593750003,0.2296,14.0988,0.13,0.23
SELECT COUNT(*)  FROM customers  WHERE date_of_birth BETWEEN '1980-01-01' AND '2000-12-31';,150mb_sample.db,81678,2787993.44875,0.3331,14.0988,0.09,0.33
SELECT COUNT(*)  FROM customers  WHERE date_of_birth BETWEEN '1980-01-01' AND '2000-12-31';,200mb_sample.db,109155,2794419.16640625,0.4752,14.0988,0.15,0.48
SELECT COUNT(*)  FROM customers  WHERE date_of_birth BETWEEN '1980-01-01' AND '2000-12-31';,250mb_sample.db,136620,2798028.8325,1.1239,14.0988,0.27,1.12
SELECT COUNT(*)  FROM customers  WHERE date_of_birth BETWEEN '1980-01-01' AND '2000-12-31';,500mb_sample.db,272975,2795315.1828125,3.1665,14.0988,0.18,3.17
SELECT COUNT(*)  FROM customers  WHERE date_of_birth BETWEEN '1980-01-01' AND '2000-12-31';,750mb_sample.db,409248,2793850.8359999997,4.7265,14.0988,0.12,4.73
SELECT COUNT(*)  FROM customers  WHERE date_of_birth BETWEEN '1980-01-01' AND '2000-12-31';,1000mb_sample.db,545361,2792299.44759375,6.1786,14.0988,0.07,6.18
SELECT COUNT(*)  FROM customers  WHERE transaction_date BETWEEN '2024-01-01' AND '2024-12-31';,50mb_sample.db,27925,2859572.359375,0.1190,14.5533,0.15,0.12
SELECT COUNT(*)  FROM customers  WHERE transaction_date BETWEEN '2024-01-01' AND '2024-12-31';,100mb_sample.db,55957,2865050.8596875,0.2347,14.5533,0.34,0.23
SELECT COUNT(*)  FROM customers  WHERE transaction_date BETWEEN '2024-01-01' AND '2024-12-31';,150mb_sample.db,83984,2866706.3566666665,0.3650,14.5533,0.40,0.36
SELECT COUNT(*)  FROM customers  WHERE transaction_date BETWEEN '2024-01-01' AND '2024-12-31';,200mb_sample.db,111967,2866407.68453125,0.4827,14.5533,0.39,0.48
SELECT COUNT(*)  FROM customers  WHERE transaction_date BETWEEN '2024-01-01' AND '2024-12-31';,250mb_sample.db,140027,2867805.470125,1.1522,14.5533,0.44,1.15
SELECT COUNT(*)  FROM customers  WHERE transaction_date BETWEEN '2024-01-01' AND '2024-12-31';,500mb_sample.db,279865,2865870.0746875,3.2050,14.5533,0.37,3.20
SELECT COUNT(*)  FROM customers  WHERE transaction_date BETWEEN '2024-01-01' AND '2024-12-31';,750mb_sample.db,419199,2861784.2398749995,4.7767,14.5533,0.23,4.78
SELECT COUNT(*)  FROM customers  WHERE transaction_date BETWEEN '2024-01-01' AND '2024-12-31';,1000mb_sample.db,558924,2861743.279125,6.4981,14.5533,0.23,6.50
SELECT COUNT(*)  FROM customers  WHERE date_of_birth BETWEEN '1990-01-01' AND '1999-12-31';,50mb_sample.db,12941,1325182.6643750002,0.1143,14.5780,0.31,0.11
SELECT COUNT(*)  FROM customers  WHERE date_of_birth BETWEEN '1990-01-01' AND '1999-12-31';,100mb_sample.db,25937,1327998.7159375001,0.2173,14.5780,0.10,0.22
SELECT COUNT(*)  FROM customers  WHERE date_of_birth BETWEEN '1990-01-01' AND '1999-12-31';,150mb_sample.db,38856,1326309.085,0.3506,14.5780,0.23,0.35
SELECT COUNT(*)  FROM customers  WHERE date_of_birth BETWEEN '1990-01-01' AND '1999-12-31';,200mb_sample.db,51967,1330379.55953125,0.4665,14.5780,0.08,0.47
SELECT COUNT(*)  FROM customers  WHERE date_of_birth BETWEEN '1990-01-01' AND '1999-12-31';,250mb_sample.db,65097,1333210.971375,1.3779,14.5780,0.29,1.38
SELECT COUNT(*)  FROM customers  WHERE date_of_birth BETWEEN '1990-01-01' AND '1999-12-31';,500mb_sample.db,130105,1332299.5946874998,3.4323,14.5780,0.22,3.43
SELECT COUNT(*)  FROM customers  WHERE date_of_birth BETWEEN '1990-01-01' AND '1999-12-31';,750mb_sample.db,195106,1331948.0149166666,4.9898,14.5780,0.20,4.99
SELECT COUNT(*)  FROM customers  WHERE date_of_birth BETWEEN '1990-01-01' AND '1999-12-31';,1000mb_sample.db,260136,1331920.7077499998,6.8991,14.5780,0.20,6.90
SELECT COUNT(*)  FROM customers  WHERE transaction_date BETWEEN '2024-01-01' AND '2024-03-31';,50mb_sample.db,6920,708620.975,0.1376,14.6752,0.40,0.14
SELECT COUNT(*)  FROM customers  WHERE transaction_date BETWEEN '2024-01-01' AND '2024-03-31';,100mb_sample.db,13821,707648.1571875,0.2304,14.6752,0.26,0.23
SELECT COUNT(*)  FROM customers  WHERE transaction_date BETWEEN '2024-01-01' AND '2024-03-31';,150mb_sample.db,20689,706197.4639583334,0.3308,14.6752,0.06,0.33
SELECT COUNT(*)  FROM customers  WHERE transaction_date BETWEEN '2024-01-01' AND '2024-03-31';,200mb_sample.db,27578,706009.7271875,0.4714,14.6752,0.03,0.47
SELECT COUNT(*)  FROM customers  WHERE transaction_date BETWEEN '2024-01-01' AND '2024-03-31';,250mb_sample.db,34489,706347.653375,1.2015,14.6752,0.08,1.20
SELECT COUNT(*)  FROM customers  WHERE transaction_date BETWEEN '2024-01-01' AND '2024-03-31';,500mb_sample.db,69117,707771.0394375,3.1800,14.6752,0.28,3.18
SELECT COUNT(*)  FROM customers  WHERE transaction_date BETWEEN '2024-01-01' AND '2024-03-31';,750mb_sample.db,103430,706095.0620833333,4.8660,14.6752,0.04,4.87
SELECT COUNT(*)  FROM customers  WHERE transaction_date BETWEEN '2024-01-01' AND '2024-03-31';,1000mb_sample.db,138118,707177.1085625,6.6704,14.6752,0.20,6.67
