Query,Database,Raw Sample Result,Scaled Result,Execution Time (s),Gold Execution Time (s),Relative Error (%),Speed Overhead (%)
SELECT SUM(amount) FROM customers WHERE transaction_date BETWEEN '2023-01-01' AND '2023-12-31';,50mb_sample.db,140158875.8,14352531677,0.1263,13.9127,0.23,0.13
SELECT SUM(amount) FROM customers WHERE transaction_date BETWEEN '2023-01-01' AND '2023-12-31';,100mb_sample.db,280930018.6,14383880323,0.2244,13.9127,0.01,0.22
SELECT SUM(amount) FROM customers WHERE transaction_date BETWEEN '2023-01-01' AND '2023-12-31';,150mb_sample.db,420383350.2,14349347761,0.342,13.9127,0.25,0.34
SELECT SUM(amount) FROM customers WHERE transaction_date BETWEEN '2023-01-01' AND '2023-12-31';,200mb_sample.db,559966641.3,14335408501,0.4585,13.9127,0.34,0.46
SELECT SUM(amount) FROM customers WHERE transaction_date BETWEEN '2023-01-01' AND '2023-12-31';,250mb_sample.db,699817834.2,14332531677,1.0981,13.9127,0.36,1.1
SELECT SUM(amount) FROM customers WHERE transaction_date BETWEEN '2023-01-01' AND '2023-12-31';,500mb_sample.db,1403008251,14367067556,2.912,13.9127,0.12,2.91
SELECT SUM(amount) FROM customers WHERE transaction_date BETWEEN '2023-01-01' AND '2023-12-31';,750mb_sample.db,2104352596,14365976765,4.3344,13.9127,0.13,4.33
SELECT SUM(amount) FROM customers WHERE transaction_date BETWEEN '2023-01-01' AND '2023-12-31';,1000mb_sample.db,2805934084,14366645566,6.0297,13.9127,0.13,6.03
SELECT SUM(amount) FROM customers WHERE bank_country = 'Canada';,50mb_sample.db,3458482.77,354155120.3,0.1313,13.526,11.83,0.13
SELECT SUM(amount) FROM customers WHERE bank_country = 'Canada';,100mb_sample.db,6627877.93,339353563.7,0.2287,13.526,7.16,0.23
SELECT SUM(amount) FROM customers WHERE bank_country = 'Canada';,150mb_sample.db,9820276.11,335204895.6,0.3407,13.526,5.85,0.34
SELECT SUM(amount) FROM customers WHERE bank_country = 'Canada';,200mb_sample.db,13110641.81,335638575.9,0.4602,13.526,5.99,0.46
SELECT SUM(amount) FROM customers WHERE bank_country = 'Canada';,250mb_sample.db,16303798.05,333907898,1.0375,13.526,5.44,1.04
SELECT SUM(amount) FROM customers WHERE bank_country = 'Canada';,500mb_sample.db,31839517.26,326042626.7,2.815,13.526,2.96,2.81
SELECT SUM(amount) FROM customers WHERE bank_country = 'Canada';,750mb_sample.db,46916548.12,320289499.7,4.3941,13.526,1.14,4.39
SELECT SUM(amount) FROM customers WHERE bank_country = 'Canada';,1000mb_sample.db,62535816.32,320189242.3,6.1144,13.526,1.11,6.11
SELECT SUM(amount) FROM customers WHERE amount BETWEEN 500 AND 2000;,50mb_sample.db,28319287.65,2899948154,0.1261,15.0907,0.54,0.13
SELECT SUM(amount) FROM customers WHERE amount BETWEEN 500 AND 2000;,100mb_sample.db,56816503.49,2909058244,0.2339,15.0907,0.23,0.23
SELECT SUM(amount) FROM customers WHERE amount BETWEEN 500 AND 2000;,150mb_sample.db,85365894.29,2913875879,0.3295,15.0907,0.07,0.33
SELECT SUM(amount) FROM customers WHERE amount BETWEEN 500 AND 2000;,200mb_sample.db,113982734,2918011419,0.4881,15.0907,0.08,0.49
SELECT SUM(amount) FROM customers WHERE amount BETWEEN 500 AND 2000;,250mb_sample.db,142433568.8,2917092902,1.0676,15.0907,0.04,1.07
SELECT SUM(amount) FROM customers WHERE amount BETWEEN 500 AND 2000;,500mb_sample.db,284216875.4,2910434095,3.0883,15.0907,0.18,3.09
SELECT SUM(amount) FROM customers WHERE amount BETWEEN 500 AND 2000;,750mb_sample.db,426131079,2909108099,4.8491,15.0907,0.23,4.85
SELECT SUM(amount) FROM customers WHERE amount BETWEEN 500 AND 2000;,1000mb_sample.db,568959139.5,2913124134,6.7831,15.0907,0.09,6.78
SELECT SUM(amount) FROM customers WHERE job LIKE '%Engineer%';,50mb_sample.db,72466698.7,7420725822,0.1377,15.5876,0.11,0.14
SELECT SUM(amount) FROM customers WHERE job LIKE '%Engineer%';,100mb_sample.db,144303524.3,7388475727,0.3349,15.5876,0.32,0.33
SELECT SUM(amount) FROM customers WHERE job LIKE '%Engineer%';,150mb_sample.db,215617605.8,7359882372,0.3483,15.5876,0.71,0.35
SELECT SUM(amount) FROM customers WHERE job LIKE '%Engineer%';,200mb_sample.db,287283965.5,7354604181,0.5982,15.5876,0.78,0.6
SELECT SUM(amount) FROM customers WHERE job LIKE '%Engineer%';,250mb_sample.db,359341424.3,7359447122,1.1518,15.5876,0.71,1.15
SELECT SUM(amount) FROM customers WHERE job LIKE '%Engineer%';,500mb_sample.db,722277916.7,7396261294,3.1951,15.5876,0.22,3.2
SELECT SUM(amount) FROM customers WHERE job LIKE '%Engineer%';,750mb_sample.db,1083741259,7398475792,4.7347,15.5876,0.19,4.73
SELECT SUM(amount) FROM customers WHERE job LIKE '%Engineer%';,1000mb_sample.db,1444203435,7394456982,6.3319,15.5876,0.24,6.33
SELECT SUM(amount) FROM customers WHERE currency_code = 'EUR'   AND transaction_date BETWEEN '2024-03-01' AND '2024-03-31';,50mb_sample.db,81140.3,8308918.858,0.1156,13.33,16.13,0.12
SELECT SUM(amount) FROM customers WHERE currency_code = 'EUR'   AND transaction_date BETWEEN '2024-03-01' AND '2024-03-31';,100mb_sample.db,163278.7,8360022.514,0.2205,13.33,16.85,0.22
SELECT SUM(amount) FROM customers WHERE currency_code = 'EUR'   AND transaction_date BETWEEN '2024-03-01' AND '2024-03-31';,150mb_sample.db,225301.74,7690440.206,0.3302,13.33,7.49,0.33
SELECT SUM(amount) FROM customers WHERE currency_code = 'EUR'   AND transaction_date BETWEEN '2024-03-01' AND '2024-03-31';,200mb_sample.db,264685.15,6776063.911,0.4572,13.33,5.29,0.46
SELECT SUM(amount) FROM customers WHERE currency_code = 'EUR'   AND transaction_date BETWEEN '2024-03-01' AND '2024-03-31';,250mb_sample.db,324475.52,6645380.328,1.0459,13.33,7.12,1.05
SELECT SUM(amount) FROM customers WHERE currency_code = 'EUR'   AND transaction_date BETWEEN '2024-03-01' AND '2024-03-31';,500mb_sample.db,619169.88,6340415.666,2.8721,13.33,11.38,2.87
SELECT SUM(amount) FROM customers WHERE currency_code = 'EUR'   AND transaction_date BETWEEN '2024-03-01' AND '2024-03-31';,750mb_sample.db,1014431.2,6925310.463,6.1838,13.33,3.2,6.18
SELECT SUM(amount) FROM customers WHERE currency_code = 'EUR'   AND transaction_date BETWEEN '2024-03-01' AND '2024-03-31';,1000mb_sample.db,1344731.59,6885151.809,8.3337,13.33,3.77,8.33
