Query,Database,Relative Error (%),Speed Overhead (%)
SELECT SUM(amount) FROM customers WHERE transaction_date BETWEEN '2023-01-01' AND '2023-12-31';,50mb_sample.db,0.23,0.13
SELECT SUM(amount) FROM customers WHERE transaction_date BETWEEN '2023-01-01' AND '2023-12-31';,100mb_sample.db,0.01,0.22
SELECT SUM(amount) FROM customers WHERE transaction_date BETWEEN '2023-01-01' AND '2023-12-31';,150mb_sample.db,0.25,0.34
SELECT SUM(amount) FROM customers WHERE transaction_date BETWEEN '2023-01-01' AND '2023-12-31';,200mb_sample.db,0.34,0.46
SELECT SUM(amount) FROM customers WHERE transaction_date BETWEEN '2023-01-01' AND '2023-12-31';,250mb_sample.db,0.36,1.10
SELECT SUM(amount) FROM customers WHERE transaction_date BETWEEN '2023-01-01' AND '2023-12-31';,500mb_sample.db,0.12,2.91
SELECT SUM(amount) FROM customers WHERE transaction_date BETWEEN '2023-01-01' AND '2023-12-31';,750mb_sample.db,0.13,4.33
SELECT SUM(amount) FROM customers WHERE transaction_date BETWEEN '2023-01-01' AND '2023-12-31';,1000mb_sample.db,0.13,6.03
SELECT SUM(amount) FROM customers WHERE bank_country = 'Canada';,50mb_sample.db,11.83,0.13
SELECT SUM(amount) FROM customers WHERE bank_country = 'Canada';,100mb_sample.db,7.16,0.23
SELECT SUM(amount) FROM customers WHERE bank_country = 'Canada';,150mb_sample.db,5.85,0.34
SELECT SUM(amount) FROM customers WHERE bank_country = 'Canada';,200mb_sample.db,5.99,0.46
SELECT SUM(amount) FROM customers WHERE bank_country = 'Canada';,250mb_sample.db,5.44,1.04
SELECT SUM(amount) FROM customers WHERE bank_country = 'Canada';,500mb_sample.db,2.96,2.81
SELECT SUM(amount) FROM customers WHERE bank_country = 'Canada';,750mb_sample.db,1.14,4.39
SELECT SUM(amount) FROM customers WHERE bank_country = 'Canada';,1000mb_sample.db,1.11,6.11
SELECT SUM(amount) FROM customers WHERE amount BETWEEN 500 AND 2000;,50mb_sample.db,0.54,0.13
